Humidity,Wind_Speed,Pressure,Time_of_Day,High_Temperature
56.217808319315374,0.628583713734685,1014.2031646154288,1,0
96.55000144869413,12.728208225275608,958.4139964995048,4,1
81.23957592679835,6.287119621526534,966.1628714094613,4,1
71.90609389379256,10.171413823294056,1039.855418852708,2,0
40.921304830970556,18.15132947852186,1010.642905965959,3,0
40.91961642353419,4.985844582977499,950.9197051616629,3,0
34.06585285177396,8.207658460712594,960.1471542866032,3,0
90.63233020424546,15.111022770860973,1016.3501769108055,4,1
72.07805082202461,4.575963309832449,950.5061583846218,4,0
85.12345678901234,8.765432109876543,1015.1234567890123,1,1
65.43210987654321,12.345678901234567,1012.3456789012345,2,0
75.98765432109876,6.543210987654321,1018.7654321098765,3,1
45.12345678901234,15.43210987654321,1008.7654321098765,4,0
55.98765432109876,9.876543210987654,1014.1234567890123,1,0
95.43210987654321,7.654321098765432,1016.9876543210987,2,1
70.12345678901234,11.234567890123456,1013.4567890123456,3,0
80.98765432109876,5.43210987654321,1017.6543210987654,4,1
50.12345678901234,13.765432109876543,1011.2345678901234,1,0
60.98765432109876,8.123456789012345,1015.8765432109876,2,0
90.12345678901234,10.765432109876543,1019.1234567890123,3,1
